"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.046861629E0,6.391177326E-2,8.674286306E-2,7.055493444E-2
2.056861895E0,4.680754989E-2,6.291911751E-2,8.032877743E-2
2.066861895E0,2.603813075E-2,4.398229718E-2,8.765916526E-2
2.076861628E0,1.382082608E-2,3.604105115E-2,9.254608303E-2
2.086861628E0,6.490443368E-3,3.420845419E-2,9.254608303E-2
2.096861628E0,5.879578181E-3,3.787364438E-2,8.949175477E-2
2.106861628E0,1.382082608E-2,3.970624134E-2,8.460483700E-2
2.116861628E0,2.787072770E-2,3.970624134E-2,7.910704613E-2
2.126861628E0,3.764457256E-2,3.604105115E-2,7.360926270E-2
2.136861628E0,4.069889709E-2,2.932153270E-2,6.811147183E-2
2.146861628E0,3.581197560E-2,2.871066704E-2,6.688974798E-2
2.156861628E0,3.397937864E-2,2.993239649E-2,6.383541971E-2
2.166861628E0,3.459024429E-2,2.504547499E-2,6.383541971E-2
2.176861628E0,3.520110995E-2,1.527163107E-2,5.955936015E-2
2.186861361E0,4.314235970E-2,6.719517522E-3,5.711590126E-2
2.196861627E0,5.108360574E-2,1.527163107E-2,5.833763257E-2
2.206861627E0,5.291620269E-2,3.237585723E-2,5.589416996E-2
2.216861627E0,4.986187443E-2,4.642575979E-2,5.345070735E-2
2.226861627E0,4.375322163E-2,5.192354694E-2,5.100724846E-2
2.236861627E0,2.420553565E-2,5.864306539E-2,4.367686436E-2
2.246861360E0,7.101308554E-3,6.108652428E-2,3.512475267E-2
2.256861360E0,-8.781188168E-3,6.841690838E-2,2.962696366E-2
2.266861360E0,-2.466368489E-2,7.757988572E-2,2.779436857E-2
2.276861626E0,-3.871358559E-2,8.124507964E-2,2.962696366E-2
2.286861626E0,-3.993531689E-2,8.368854225E-2,3.268129006E-2
2.296861626E0,-2.405281924E-2,8.368854225E-2,3.207042441E-2
2.306861892E0,5.268712528E-3,8.796459436E-2,2.901609987E-2
2.316861892E0,4.375322163E-2,9.101892263E-2,2.412917651E-2
2.326861892E0,7.612907887E-2,9.101892263E-2,2.351831272E-2
2.336861892E0,9.934195876E-2,7.941248268E-2,2.412917651E-2
2.346861892E0,1.085049361E-1,4.703662544E-2,2.657263726E-2
2.356861625E0,1.048397496E-1,-3.604105115E-2,3.023782931E-2
2.366861625E0,1.005636901E-1,-1.050688252E-1,2.779436857E-2
2.376861358E0,9.506590664E-2,-1.808161139E-1,2.535090782E-2
2.386861358E0,8.590292186E-2,-2.449569702E-1,2.718350291E-2
2.396861358E0,7.429648191E-2,-2.840523422E-1,2.779436857E-2
2.406861091E0,6.391177326E-2,-3.011565804E-1,3.145955876E-2
2.416861091E0,5.291620269E-2,-3.042109013E-1,3.451388702E-2
2.426861091E0,5.291620269E-2,-2.962696552E-1,4.062253982E-2
2.436861091E0,5.963572115E-2,-2.846632004E-1,4.795292020E-2
2.446861391E0,7.918340713E-2,-2.779437006E-1,5.528330430E-2
2.456861391E0,1.152244583E-1,-2.822197378E-1,6.383541971E-2
2.466861391E0,1.585958898E-1,-2.974913716E-1,6.811147183E-2
2.476861391E0,1.921934783E-1,-3.115412891E-1,7.422012836E-2
2.486861391E0,2.044107765E-1,-3.213151097E-1,7.116580009E-2
2.496861124E0,2.080759704E-1,-3.225368559E-1,7.177666575E-2
2.506861124E0,2.074651122E-1,-2.999348342E-1,6.627888232E-2
2.516861124E0,1.909717470E-1,-2.431243658E-1,4.856378585E-2
2.526861124E0,1.598176211E-1,-1.588249654E-1,2.290744707E-2
2.536861124E0,1.219439730E-1,-5.925392732E-2,-8.246680722E-3
2.546861124E0,7.979427278E-2,4.703662544E-2,-4.917465150E-2
2.556861390E0,6.269004941E-2,1.172861308E-1,-7.360926270E-2
2.566861390E0,4.069889709E-2,1.740965992E-1,-9.987647086E-2
2.576861123E0,3.703370690E-2,2.119702399E-1,-1.084285825E-1
2.586861123E0,4.558581859E-2,2.510656118E-1,-1.084285825E-1
2.596861123E0,5.902485549E-2,2.913827300E-1,-9.865473956E-2
2.606860856E0,7.673994452E-2,3.188716471E-1,-7.971791178E-2
