"Time (s)","Pressure (hPa)"
6.661904598E1,1.017949951E3
6.671904598E1,1.017944092E3
6.681904598E1,1.017959961E3
6.691904598E1,1.017959961E3
6.701904598E1,1.017975586E3
6.711904598E1,1.017960205E3
6.721904598E1,1.017960205E3
6.731904598E1,1.017969238E3
6.741904601E1,1.017978027E3
6.751904601E1,1.017978027E3
6.761904601E1,1.017959473E3
6.771904601E1,1.017959961E3
6.781904601E1,1.017963135E3
6.791904601E1,1.017968018E3
6.801904594E1,1.017967285E3
6.811904594E1,1.017962891E3
6.821904594E1,1.017953613E3
6.831904594E1,1.017971191E3
6.841904594E1,1.017972168E3
6.851904594E1,1.017969971E3
6.861904594E1,1.017948242E3
6.871904594E1,1.017946777E3
6.881904594E1,1.017938965E3
6.891904594E1,1.017945557E3
6.901904594E1,1.017940186E3
6.911904594E1,1.017930176E3
6.921904594E1,1.017900391E3
6.931904594E1,1.017921143E3
6.941904594E1,1.017924316E3
6.951904594E1,1.017932373E3
6.961904594E1,1.017925293E3
6.971904594E1,1.017944336E3
6.981904594E1,1.017943848E3
6.991904594E1,1.017942627E3
7.001904594E1,1.017934326E3
7.011904594E1,1.017928955E3
7.021904594E1,1.017946533E3
7.031904594E1,1.017919678E3
7.041904591E1,1.017953857E3
7.051904591E1,1.017946045E3
7.061904591E1,1.017952637E3
7.071904591E1,1.017957031E3
7.081904591E1,1.017969727E3
7.091904591E1,1.017968750E3
7.101904597E1,1.017970215E3
7.111904597E1,1.017970215E3
7.121904597E1,1.017971680E3
7.131904597E1,1.017985352E3
7.141904597E1,1.017985352E3
7.151904597E1,1.017994385E3
7.161904597E1,1.017959717E3
7.171904597E1,1.017959717E3
7.181904597E1,1.017940918E3
7.191904597E1,1.017942139E3
7.201904597E1,1.017942139E3
7.211904597E1,1.017975830E3
7.221904597E1,1.017948486E3
7.231904597E1,1.017948486E3
7.241904597E1,1.017942139E3
7.251904597E1,1.017944092E3
7.261904597E1,1.017944092E3
7.271904597E1,1.017957764E3
7.281904597E1,1.017960205E3
7.291904597E1,1.017960205E3
7.301904597E1,1.017955322E3
7.311904597E1,1.017949951E3
7.321904597E1,1.017943604E3
7.331904597E1,1.017937988E3
7.341904597E1,1.017924805E3
7.351904597E1,1.017917236E3
7.361904597E1,1.017904541E3
7.371904597E1,1.017890869E3
7.381904597E1,1.017871338E3
7.391904597E1,1.017884521E3
7.401904597E1,1.017861572E3
7.411904597E1,1.017849854E3
7.421904597E1,1.017833740E3
7.431904597E1,1.017832031E3
7.441904597E1,1.017847656E3
7.451904597E1,1.017849365E3
7.461904597E1,1.017868164E3
7.471904597E1,1.017871094E3
7.481904597E1,1.017886475E3
7.491904597E1,1.017897461E3
7.501904597E1,1.017888428E3
7.511904597E1,1.017879883E3
7.521904597E1,1.017858398E3
7.531904597E1,1.017856689E3
7.541904597E1,1.017887451E3
7.551904597E1,1.017878174E3
7.561904597E1,1.017886963E3
7.571904597E1,1.017909180E3
7.581904597E1,1.017910156E3
7.591904597E1,1.017895996E3
7.601904597E1,1.017882568E3
7.611904597E1,1.017882568E3
7.621904597E1,1.017882568E3
7.631904597E1,1.017889404E3
7.641904597E1,1.017876221E3
7.651904597E1,1.017876221E3
7.661904597E1,1.017899658E3
7.671904597E1,1.017908691E3
7.681904597E1,1.017908691E3
7.691904597E1,1.017911377E3
7.701904597E1,1.017896729E3
7.711904597E1,1.017896729E3
7.721904597E1,1.017897217E3
7.731904597E1,1.017894531E3
7.741904597E1,1.017894531E3
7.751904597E1,1.017887939E3
7.761904597E1,1.017890625E3
7.771904597E1,1.017890625E3
7.781904597E1,1.017886475E3
7.791904597E1,1.017889893E3
7.801904597E1,1.017889893E3
7.811904597E1,1.017880859E3
7.821904597E1,1.017859863E3
7.831904597E1,1.017859131E3
7.841904597E1,1.017861328E3
7.851904597E1,1.017876465E3
7.861904597E1,1.017875732E3
7.871904597E1,1.017876709E3
7.881904597E1,1.017896729E3
7.891904597E1,1.017898682E3
7.901904597E1,1.017895020E3
7.911904597E1,1.017893311E3
7.921904597E1,1.017903076E3
7.931904597E1,1.017902588E3
7.941904597E1,1.017899902E3
7.951904597E1,1.017932373E3
7.961904597E1,1.017912842E3
7.971904597E1,1.017912354E3
7.981904597E1,1.017896729E3
7.991904597E1,1.017882812E3
8.001904597E1,1.017862305E3
8.011904597E1,1.017842773E3
8.021904597E1,1.017858887E3
8.031904597E1,1.017880371E3
8.041904597E1,1.017891602E3
8.051904597E1,1.017888184E3
8.061904597E1,1.017879639E3
8.071904597E1,1.017875977E3
8.081904597E1,1.017887207E3
8.091904597E1,1.017900635E3
8.101904597E1,1.017861816E3
8.111904597E1,1.017841797E3
8.121904597E1,1.017835938E3
8.131904597E1,1.017835938E3
8.141904597E1,1.017839844E3
8.151904597E1,1.017867432E3
8.161904597E1,1.017867432E3
8.171904597E1,1.017865967E3
8.181904597E1,1.017885742E3
8.191904597E1,1.017885742E3
8.201904584E1,1.017890381E3
8.211904584E1,1.017895264E3
8.221904584E1,1.017895264E3
8.231904584E1,1.017920654E3
8.241904584E1,1.017935303E3
8.251904584E1,1.017935303E3
8.261904584E1,1.017965576E3
8.271904584E1,1.017949707E3
8.281904584E1,1.017949707E3
8.291904584E1,1.017942139E3
8.301904584E1,1.017946533E3
8.311904584E1,1.017946533E3
8.321904584E1,1.017955811E3
8.331904584E1,1.017971436E3
8.341904584E1,1.017963135E3
8.351904584E1,1.017952393E3
8.361904584E1,1.017952393E3
8.371904584E1,1.017929688E3
8.381904584E1,1.017928955E3
8.391904584E1,1.017906738E3
8.401904584E1,1.017909180E3
8.411904584E1,1.017918457E3
8.421904584E1,1.017916016E3
8.431904584E1,1.017925049E3
8.441904584E1,1.017944092E3
8.451904584E1,1.017946289E3
8.461904584E1,1.017946777E3
8.471904584E1,1.017949463E3
8.481904584E1,1.017937988E3
8.491904584E1,1.017931641E3
8.501904597E1,1.017937500E3
8.511904597E1,1.017941162E3
8.521904597E1,1.017958740E3
8.531904597E1,1.017955811E3
