"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.631971393E0,-1.639500111E-1,-9.829050064E0,-4.999500215E-1
1.642056321E0,-2.430000156E-1,-9.892050743E0,-5.220000148E-1
1.652141155E0,-2.860500216E-1,-9.895950317E0,-4.830000103E-1
1.662226057E0,-3.600000143E-1,-9.826950073E0,-4.330500066E-1
1.672310975E0,-3.199500144E-1,-9.726000786E0,-4.279500246E-1
1.682395898E0,-2.599500120E-1,-9.664050102E0,-4.140000343E-1
1.692480826E0,-2.449500114E-1,-9.657000542E0,-3.880500197E-1
1.702565525E0,-2.569500208E-1,-9.669000626E0,-4.020000100E-1
1.712650451E0,-3.169500232E-1,-9.673950195E0,-4.120500088E-1
1.722735388E0,-3.319500089E-1,-9.700050354E0,-4.330500066E-1
1.732820326E0,-3.270000219E-1,-9.729000092E0,-4.789500237E-1
1.742905174E0,-2.740500271E-1,-9.796050072E0,-5.670000315E-1
1.752990086E0,-2.170500159E-1,-9.913050652E0,-6.370500326E-1
1.763075009E0,-2.070000172E-1,-9.979950905E0,-6.390000582E-1
1.773159932E0,-1.020000055E-1,-9.949050903E0,-5.860500336E-1
1.783244845E0,-1.995000057E-2,-9.861000061E0,-5.550000072E-1
1.793329782E0,3.600000218E-2,-9.796050072E0,-5.410500169E-1
1.803414468E0,9.600000083E-2,-9.762000084E0,-5.430000424E-1
1.813499393E0,1.390500069E-1,-9.753000259E0,-5.029500127E-1
1.823584331E0,1.630500108E-1,-9.726000786E0,-4.980000257E-1
1.833669188E0,1.249500066E-1,-9.667050362E0,-4.789500237E-1
1.843754100E0,1.150500029E-1,-9.625950813E0,-4.720500112E-1
1.853839018E0,1.030500084E-1,-9.652050018E0,-4.639500082E-1
1.863923941E0,1.129500046E-1,-9.670950890E0,-4.830000103E-1
1.874008864E0,9.795000404E-2,-9.745950699E0,-4.999500215E-1
1.884093564E0,6.000000238E-2,-9.781949997E0,-5.119500160E-1
1.894178485E0,5.295000225E-2,-9.814950943E0,-5.119500160E-1
1.904263422E0,5.295000225E-2,-9.829050064E0,-4.690500200E-1
1.914348345E0,6.495000422E-2,-9.825000763E0,-4.260000288E-1
1.924433239E0,5.295000225E-2,-9.822000504E0,-4.720500112E-1
1.934518167E0,5.100000277E-2,-9.838950157E0,-5.239500403E-1
1.944603005E0,7.695000619E-2,-9.817050934E0,-5.890500546E-1
1.954687927E0,1.390500069E-1,-9.742950439E0,-6.079500318E-1
1.964772846E0,1.339500099E-1,-9.676050186E0,-5.629500151E-1
1.974857526E0,6.705000252E-2,-9.664050102E0,-5.310000181E-1
1.984942437E0,-4.395000264E-2,-9.655050278E0,-4.980000257E-1
1.995027360E0,-1.180500090E-1,-9.637950897E0,-5.029500127E-1
2.005112269E0,-1.879500151E-1,-9.646950722E0,-4.810500145E-1
2.015197187E0,-2.670000196E-1,-9.634950638E0,-4.450500309E-1
2.025282110E0,-3.120000064E-1,-9.634950638E0,-4.039500058E-1
2.035366973E0,-3.120000064E-1,-9.624000549E0,-4.020000100E-1
2.045451665E0,-2.550000250E-1,-9.621000290E0,-4.309500158E-1
2.055536808E0,-1.780500114E-1,-9.682950020E0,-4.620000124E-1
2.065621502E0,-1.710000038E-1,-9.790950775E0,-5.269500017E-1
2.075706428E0,-1.830000132E-1,-9.826950073E0,-5.220000148E-1
2.085791276E0,-2.329500169E-1,-9.790950775E0,-4.830000103E-1
2.095876198E0,-2.190000117E-1,-9.801000595E0,-4.309500158E-1
2.105961121E0,-1.969500035E-1,-9.820050240E0,-4.399500191E-1
2.116046034E0,-2.790000141E-1,-9.748050690E0,-5.269500017E-1
2.126130946E0,-3.600000143E-1,-9.634950638E0,-6.079500318E-1
2.136215860E0,-3.199500144E-1,-9.565950394E0,-5.740500093E-1
2.146300554E0,-1.570500135E-1,-9.583050728E0,-5.050500035E-1
2.156385489E0,-1.995000057E-2,-9.691050529E0,-4.639500082E-1
2.166470417E0,5.505000427E-2,-9.778950691E0,-4.690500200E-1
2.176555271E0,8.400000632E-2,-9.724050522E0,-5.310000181E-1
2.186640187E0,1.459500045E-1,-9.624000549E0,-5.670000315E-1
2.196725115E0,2.130000144E-1,-9.670950890E0,-5.170500278E-1
2.206809818E0,2.850000262E-1,-9.802950859E0,-4.909500182E-1
2.216894754E0,3.040500283E-1,-9.918000221E0,-5.269500017E-1
2.226979677E0,2.209500074E-1,-1.000200081E1,-5.910000205E-1
2.237064525E0,1.339500099E-1,-1.001895046E1,-6.649500132E-1
2.247149446E0,6.300000101E-2,-9.949050903E0,-6.750000119E-1
2.257234370E0,3.405000269E-2,-9.846000671E0,-6.820500493E-1
2.267319297E0,3.600000218E-2,-9.781949997E0,-6.799500585E-1
2.277404220E0,1.500000060E-2,-9.706950188E0,-6.150000095E-1
2.287488909E0,-3.000000119E-2,-9.621000290E0,-5.460000038E-1
2.297573854E0,3.105000220E-2,-9.604050636E0,-4.600500166E-1
2.307658793E0,8.595000207E-2,-9.658950806E0,-4.279500246E-1
2.317743637E0,6.705000252E-2,-9.714000702E0,-4.189500213E-1
2.327828544E0,0.000000000E0,-9.724050522E0,-4.500000179E-1
2.337913471E0,-9.900000691E-2,-9.730950356E0,-4.789500237E-1
2.347998394E0,-2.119500041E-1,-9.748050690E0,-4.999500215E-1
2.358083083E0,-3.079500198E-1,-9.808050156E0,-5.269500017E-1
2.368168014E0,-3.220500052E-1,-9.841050148E0,-5.119500160E-1
2.378252933E0,-3.319500089E-1,-9.837000847E0,-5.340000391E-1
2.388337791E0,-2.740500271E-1,-9.798000336E0,-5.359500051E-1
2.398422688E0,-2.170500159E-1,-9.705000877E0,-5.340000391E-1
