"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.437163083E0,6.503749639E-2,6.764999777E-2,-2.254999988E-2
3.447247922E0,6.613750011E-2,7.081250101E-2,-1.512499992E-2
3.457332850E0,6.503749639E-2,4.427500069E-2,-1.182499994E-2
3.467417778E0,6.503749639E-2,1.649999991E-3,-3.313750029E-2
3.477502463E0,6.297499686E-2,1.553750038E-2,-1.828750037E-2
3.487587384E0,3.423750028E-2,3.464999795E-2,-1.182499994E-2
3.497672218E0,3.299999982E-3,4.633750021E-2,-1.718750037E-2
3.507757139E0,-1.924999990E-3,6.228749827E-2,-2.144999988E-2
3.517841819E0,1.374999993E-4,8.263749629E-2,-2.681249939E-2
3.527926735E0,1.374999993E-4,9.322500229E-2,-2.997500077E-2
3.538011584E0,-3.024999984E-3,1.071124971E-1,-3.533750027E-2
3.548096505E0,-7.287499961E-3,1.176999956E-1,-4.592499882E-2
3.558181194E0,-4.124999978E-3,9.322500229E-2,-4.812499881E-2
3.568266053E0,7.562499959E-3,5.169999972E-2,-4.276249930E-2
3.578350986E0,3.739999980E-2,3.781250119E-2,-3.739999980E-2
3.588435681E0,7.892499864E-2,2.832499892E-2,-3.423750028E-2
3.598520606E0,1.119249985E-1,2.722499892E-2,-3.107500076E-2
3.608605514E0,1.289750040E-1,3.781250119E-2,-2.887500077E-2
3.618690141E0,1.267749965E-1,4.317500070E-2,-3.313750029E-2
3.628775057E0,1.108250022E-1,4.427500069E-2,-2.887500077E-2
3.638859980E0,8.841250092E-2,2.612499893E-2,-1.828750037E-2
3.648944829E0,6.077500060E-2,1.237499993E-2,-1.402499992E-2
3.659029750E0,3.203750029E-2,-5.774999969E-3,-1.292499993E-2
3.669114444E0,8.662499487E-3,-2.378750034E-2,-5.499999970E-3
3.679199365E0,-7.287499961E-3,-2.488750033E-2,-4.399999976E-3
3.689284198E0,-2.117500082E-2,-1.319999993E-2,-7.562499959E-3
3.699369119E0,-2.749999985E-2,3.849999979E-3,-6.599999964E-3
3.709453732E0,-2.433750033E-2,1.443750039E-2,-5.499999970E-3
3.719538653E0,-1.691249944E-2,-4.124999978E-4,8.249999955E-4
3.729623586E0,-1.471249945E-2,-3.024999984E-2,7.287499961E-3
3.739708509E0,-2.433750033E-2,-6.531249732E-2,1.361249946E-2
3.749793117E0,-3.822499886E-2,-7.493750006E-2,1.581249945E-2
3.759878028E0,-5.417500064E-2,-6.861250103E-2,1.581249945E-2
3.769962722E0,-5.417500064E-2,-5.788749829E-2,1.154999994E-2
3.780047643E0,-4.455000162E-2,-4.619999975E-2,3.024999984E-3
3.790132477E0,-3.066249937E-2,-4.083750024E-2,-4.399999976E-3
