"Time (s)","Pressure (hPa)"
3.571590161E1,1.017749756E3
3.581590161E1,1.017736084E3
3.591590161E1,1.017739258E3
3.601590161E1,1.017739014E3
3.611590161E1,1.017747314E3
3.621590161E1,1.017765625E3
3.631590161E1,1.017759766E3
3.641590161E1,1.017755371E3
3.651590161E1,1.017756348E3
3.661590161E1,1.017738037E3
3.671590161E1,1.017742676E3
3.681590161E1,1.017739014E3
3.691590161E1,1.017756836E3
3.701590161E1,1.017738770E3
3.711590161E1,1.017757812E3
3.721590161E1,1.017751221E3
3.731590161E1,1.017757080E3
3.741590187E1,1.017749023E3
3.751590187E1,1.017760742E3
3.761590187E1,1.017785400E3
3.771590161E1,1.017772217E3
3.781590161E1,1.017769775E3
3.791590161E1,1.017769775E3
3.801590161E1,1.017778320E3
3.811590161E1,1.017801270E3
3.821590161E1,1.017788818E3
3.831590161E1,1.017804443E3
3.841590161E1,1.017804443E3
3.851590161E1,1.017804688E3
3.861590161E1,1.017776367E3
3.871590161E1,1.017776367E3
3.881590161E1,1.017781982E3
3.891590187E1,1.017832520E3
3.901590187E1,1.017832520E3
3.911590187E1,1.017818115E3
3.921590187E1,1.017832275E3
3.931590187E1,1.017832275E3
3.941590187E1,1.017815918E3
3.951590187E1,1.017786865E3
3.961590187E1,1.017786865E3
3.971590187E1,1.017794678E3
3.981590187E1,1.017797363E3
3.991590187E1,1.017797363E3
4.001590187E1,1.017793457E3
4.011590187E1,1.017805420E3
4.021590187E1,1.017822754E3
4.031590187E1,1.017813965E3
4.041590160E1,1.017804443E3
4.051590160E1,1.017773193E3
4.061590161E1,1.017791504E3
4.071590160E1,1.017801270E3
4.081590160E1,1.017810547E3
4.091590160E1,1.017791504E3
4.101590160E1,1.017806641E3
4.111590161E1,1.017825439E3
4.121590160E1,1.017813965E3
4.131590160E1,1.017779785E3
4.141590160E1,1.017774170E3
4.151590160E1,1.017787354E3
4.161590161E1,1.017790039E3
4.171590160E1,1.017782471E3
4.181590160E1,1.017791260E3
4.191590134E1,1.017810791E3
4.201590134E1,1.017823975E3
4.211590134E1,1.017842529E3
4.221590160E1,1.017868408E3
4.231590160E1,1.017862793E3
4.241590160E1,1.017838867E3
4.251590160E1,1.017829102E3
4.261590160E1,1.017855713E3
4.271590160E1,1.017867920E3
4.281590160E1,1.017864746E3
4.291590160E1,1.017885742E3
4.301590160E1,1.017893311E3
4.311590160E1,1.017867676E3
4.321590160E1,1.017873291E3
4.331590160E1,1.017859863E3
4.341590160E1,1.017844727E3
4.351590160E1,1.017844727E3
4.361590160E1,1.017837891E3
4.371590160E1,1.017814697E3
4.381590160E1,1.017814697E3
4.391590160E1,1.017833496E3
4.401590160E1,1.017812012E3
4.411590160E1,1.017812012E3
4.421590160E1,1.017811035E3
4.431590160E1,1.017842529E3
4.441590160E1,1.017842529E3
4.451590160E1,1.017844482E3
4.461590160E1,1.017818359E3
4.471590160E1,1.017818359E3
4.481590160E1,1.017815674E3
4.491590160E1,1.017824219E3
4.501590160E1,1.017824219E3
4.511590160E1,1.017816406E3
4.521590134E1,1.017806396E3
4.531590134E1,1.017806396E3
4.541590134E1,1.017818115E3
4.551590134E1,1.017805664E3
4.561590134E1,1.017820068E3
4.571590134E1,1.017820557E3
4.581590134E1,1.017804688E3
4.591590134E1,1.017803467E3
4.601590134E1,1.017777588E3
4.611590134E1,1.017796387E3
4.621590134E1,1.017811035E3
4.631590134E1,1.017816162E3
4.641590134E1,1.017807861E3
4.651590134E1,1.017814697E3
4.661590134E1,1.017820312E3
4.671590134E1,1.017801025E3
4.681590134E1,1.017792969E3
4.691590134E1,1.017783936E3
4.701590134E1,1.017799072E3
4.711590134E1,1.017798584E3
4.721590134E1,1.017781738E3
4.731590134E1,1.017780518E3
4.741590134E1,1.017797119E3
4.751590134E1,1.017797119E3
4.761590134E1,1.017801025E3
4.771590134E1,1.017804199E3
4.781590134E1,1.017800293E3
4.791590134E1,1.017792969E3
4.801590134E1,1.017767090E3
4.811590134E1,1.017786377E3
4.821590134E1,1.017783691E3
4.831590134E1,1.017761963E3
4.841590134E1,1.017778076E3
4.851590134E1,1.017797363E3
4.861590134E1,1.017797363E3
4.871590134E1,1.017798340E3
4.881590134E1,1.017790527E3
4.891590134E1,1.017790527E3
4.901590134E1,1.017824219E3
4.911590134E1,1.017850342E3
4.921590134E1,1.017850342E3
4.931590134E1,1.017842285E3
4.941590134E1,1.017843506E3
4.951590134E1,1.017843506E3
4.961590134E1,1.017792725E3
4.971536335E1,1.017797363E3
4.981536335E1,1.017797363E3
4.991536362E1,1.017829590E3
5.001536362E1,1.017833008E3
5.011536362E1,1.017833008E3
5.021536362E1,1.017845459E3
5.031536362E1,1.017837891E3
5.041536362E1,1.017837891E3
5.051536362E1,1.017801514E3
5.061536362E1,1.017803955E3
5.071536362E1,1.017807373E3
5.081536362E1,1.017796875E3
5.091536362E1,1.017770752E3
5.101536362E1,1.017794678E3
5.111536362E1,1.017836670E3
5.121536362E1,1.017851318E3
5.131536362E1,1.017840332E3
5.141536362E1,1.017824707E3
5.151536362E1,1.017807129E3
5.161536362E1,1.017797607E3
5.171536362E1,1.017815186E3
5.181536362E1,1.017814697E3
5.191536362E1,1.017807861E3
5.201536362E1,1.017824707E3
5.211536362E1,1.017813477E3
5.221536362E1,1.017829346E3
5.231536362E1,1.017828369E3
5.241536362E1,1.017819580E3
5.251536362E1,1.017797607E3
5.261536362E1,1.017819336E3
5.271536335E1,1.017824463E3
5.281536335E1,1.017839600E3
5.291536308E1,1.017802734E3
5.301536308E1,1.017804199E3
