"Time (s)","X (hPa)"
1.641472513E2,1.017523117E3
1.652163033E2,1.017514801E3
1.662853463E2,1.017512054E3
1.673544083E2,1.017511520E3
1.684234543E2,1.017508087E3
1.694925293E2,1.017504349E3
1.705615803E2,1.017502594E3
1.716306163E2,1.017502365E3
1.726995933E2,1.017502365E3
1.737685463E2,1.017511444E3
1.748375243E2,1.017523422E3
1.759065193E2,1.017536545E3
1.769755573E2,1.017547302E3
1.799536155E2,1.017648697E3
1.809558935E2,1.017648773E3
1.819582175E2,1.017648697E3
1.829604495E2,1.017646942E3
1.839627025E2,1.017646942E3
1.843181655E2,1.017654419E3
1.853872505E2,1.017662888E3
1.864563105E2,1.017669373E3
1.875253585E2,1.017669373E3
1.885944095E2,1.017669220E3
1.896634445E2,1.017657928E3
1.907324435E2,1.017653122E3
1.918014675E2,1.017653122E3
1.928704965E2,1.017660370E3
1.939395705E2,1.017671204E3
1.950086505E2,1.017681961E3
1.960777065E2,1.017681961E3
1.971467785E2,1.017677307E3
1.982158635E2,1.017666397E3
1.992849465E2,1.017654877E3
2.003540355E2,1.017647324E3
2.014231085E2,1.017641373E3
2.024922105E2,1.017634811E3
2.035612305E2,1.017627335E3
2.046302255E2,1.017615662E3
2.056992885E2,1.017603836E3
2.067683325E2,1.017589417E3
2.078373785E2,1.017577362E3
2.089064455E2,1.017565765E3
2.099754795E2,1.017555923E3
2.110444785E2,1.017549133E3
2.121134735E2,1.017545853E3
2.131825135E2,1.017545853E3
2.142515525E2,1.017561340E3
2.153206135E2,1.017586441E3
2.163896995E2,1.017609940E3
2.174587395E2,1.017630005E3
2.185277585E2,1.017630005E3
2.195967545E2,1.017629776E3
2.206657825E2,1.017608109E3
2.217348375E2,1.017586899E3
2.228039215E2,1.017565231E3
2.238729875E2,1.017551041E3
2.249419975E2,1.017551041E3
2.260110385E2,1.017556152E3
2.270800915E2,1.017556152E3
2.281491365E2,1.017556152E3
2.292181895E2,1.017551880E3
2.302872135E2,1.017542038E3
2.313562255E2,1.017534866E3
2.324252145E2,1.017534866E3
2.334942415E2,1.017537842E3
2.345632755E2,1.017539673E3
2.356322795E2,1.017541122E3
2.367013345E2,1.017541962E3
2.377703775E2,1.017543259E3
2.388394115E2,1.017549744E3
2.399084345E2,1.017561111E3
2.409775145E2,1.017580795E3
2.420466195E2,1.017600479E3
2.431156975E2,1.017614212E3
2.441847475E2,1.017623215E3
2.452537955E2,1.017628784E3
2.463228295E2,1.017628784E3
2.473918785E2,1.017626572E3
2.484609045E2,1.017623672E3
2.495299575E2,1.017619858E3
2.505990805E2,1.017617645E3
2.516682005E2,1.017617645E3
2.527372685E2,1.017627716E3
2.538063675E2,1.017661972E3
2.548754235E2,1.017694626E3
2.559444225E2,1.017721786E3
2.570134045E2,1.017746048E3
2.580824415E2,1.017746048E3
2.591515345E2,1.017714386E3
2.602205945E2,1.017679520E3
2.612896485E2,1.017649841E3
2.623587715E2,1.017621002E3
2.634278755E2,1.017610855E3
2.644969205E2,1.017610855E3
2.655659885E2,1.017610855E3
2.666350925E2,1.017612152E3
2.677041575E2,1.017610474E3
2.687732125E2,1.017610168E3
2.698422955E2,1.017608566E3
2.709113845E2,1.017608566E3
2.719804725E2,1.017609177E3
2.730495345E2,1.017610474E3
2.741185445E2,1.017610474E3
2.751875905E2,1.017606430E3
2.762566195E2,1.017599487E3
2.773256585E2,1.017587891E3
2.783947315E2,1.017573853E3
2.794637525E2,1.017567062E3
2.805328125E2,1.017567062E3
2.816018505E2,1.017578583E3
2.826709465E2,1.017599335E3
2.837400235E2,1.017617798E3
2.848090655E2,1.017632904E3
2.858781435E2,1.017646027E3
2.869472215E2,1.017646027E3
2.880163675E2,1.017646408E3
2.890854735E2,1.017647324E3
2.901546235E2,1.017649536E3
2.912237635E2,1.017649536E3
2.922928565E2,1.017649002E3
2.933619525E2,1.017647095E3
2.944310715E2,1.017642899E3
2.955001845E2,1.017636795E3
2.965692525E2,1.017629776E3
2.976382755E2,1.017629013E3
2.987073465E2,1.017627258E3
2.997764065E2,1.017627258E3
3.008454725E2,1.017630615E3
3.019145695E2,1.017635498E3
3.029836855E2,1.017637100E3
3.040528025E2,1.017642365E3
3.051218865E2,1.017645645E3
3.061909535E2,1.017646790E3
3.072600675E2,1.017653122E3
3.083291435E2,1.017657928E3
3.093982485E2,1.017660675E3
3.104673375E2,1.017664948E3
3.115364435E2,1.017671509E3
3.126055655E2,1.017674484E3
3.136747115E2,1.017693100E3
3.147438505E2,1.017723846E3
3.158129485E2,1.017755280E3
3.168820025E2,1.017784500E3
3.179510705E2,1.017804794E3
3.190201525E2,1.017804794E3
3.200891965E2,1.017775497E3
3.211583095E2,1.017751007E3
3.222274435E2,1.017730026E3
3.232965075E2,1.017716370E3
3.243656295E2,1.017716370E3
3.254347685E2,1.017715454E3
3.265038995E2,1.017710419E3
3.275729565E2,1.017693634E3
3.286419945E2,1.017665634E3
3.297110665E2,1.017633743E3
3.307801175E2,1.017612152E3
3.318491495E2,1.017599945E3
3.329182365E2,1.017588501E3
3.339872805E2,1.017588501E3
3.350563305E2,1.017593994E3
3.361253855E2,1.017599030E3
3.371944475E2,1.017601776E3
3.382635015E2,1.017607727E3
3.393326165E2,1.017618866E3
3.404017275E2,1.017638397E3
3.414707805E2,1.017678604E3
3.425398625E2,1.017707443E3
3.436089295E2,1.017723923E3
3.446780435E2,1.017733841E3
3.457470875E2,1.017733841E3
3.468161295E2,1.017712479E3
3.478852385E2,1.017697144E3
3.489543225E2,1.017697144E3
3.500233885E2,1.017704163E3
3.510924885E2,1.017708282E3
3.521615825E2,1.017708588E3
3.532306795E2,1.017708588E3
3.542997545E2,1.017697372E3
3.553688375E2,1.017679672E3
3.564378995E2,1.017666855E3
3.575069755E2,1.017666626E3
