"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.567492792E0,1.219333112E-1,-1.508348435E-1,-8.336078376E-2
2.577468792E0,1.241440028E-1,-1.526660472E-1,-7.944813371E-2
2.587445792E0,9.271737188E-2,-1.274464428E-1,-8.318828046E-2
2.597421792E0,5.729107186E-2,-1.115942448E-1,-7.636284083E-2
2.607397792E0,6.144959852E-2,-5.230428278E-2,-4.182910174E-2
2.617373792E0,6.443277746E-2,6.714916322E-3,-5.002509337E-3
2.627350792E0,7.555148005E-2,2.496316284E-2,2.268637717E-2
2.637326792E0,8.772248030E-2,2.206262574E-2,5.032985285E-2
2.647302792E0,9.210790694E-2,1.673816703E-2,6.802842766E-2
2.657278792E0,8.177444339E-2,1.155405864E-2,8.065834641E-2
2.667255792E0,6.438186765E-2,4.191160551E-4,9.140606970E-2
2.677231792E0,8.136959374E-2,5.811614543E-2,1.327324957E-1
2.687207792E0,6.873529404E-2,1.179006547E-1,1.669277400E-1
2.697183792E0,4.418742284E-2,1.560085416E-1,1.970096678E-1
2.707160792E0,2.734612115E-2,1.848199517E-1,2.258684933E-1
2.717136792E0,1.936446130E-2,2.029040456E-1,2.590331733E-1
2.727112792E0,2.826394700E-2,2.052236497E-1,2.826708555E-1
2.737088792E0,2.734285034E-2,2.136450261E-1,2.929515839E-1
2.747065792E0,-1.174544799E-3,2.115267366E-1,2.887184918E-1
2.757041792E0,-3.454564139E-2,2.038358748E-1,2.794787884E-1
2.767017792E0,-2.690876089E-2,2.272842228E-1,2.972234190E-1
2.776993792E0,-3.817078099E-2,2.313579619E-1,3.172816932E-1
2.786970792E0,-3.795852512E-2,2.203098387E-1,3.413007259E-1
2.796946792E0,-2.568459511E-2,2.035992146E-1,3.499641120E-1
2.806922792E0,-2.409548685E-2,1.976590306E-1,3.468157351E-1
2.816898792E0,-3.109484911E-2,1.834160835E-1,3.370868564E-1
2.826875792E0,-4.473209754E-2,1.712395847E-1,3.241460323E-1
2.836851792E0,-6.553360820E-2,1.596850157E-1,2.935215235E-1
2.846827792E0,-8.469904214E-2,1.583896577E-1,2.679530382E-1
2.856804792E0,-9.607367218E-2,1.613774598E-1,2.389774919E-1
2.866780792E0,-9.567765892E-2,1.705930680E-1,2.019150704E-1
2.876756792E0,-9.230259806E-2,1.753700674E-1,1.591885984E-1
2.886732792E0,-8.637599647E-2,1.895748377E-1,1.148608103E-1
2.896709792E0,-8.235280216E-2,1.861440539E-1,7.522779703E-2
2.906685792E0,-7.874128968E-2,1.633282304E-1,3.151387349E-2
2.916661792E0,-7.464205474E-2,1.372286230E-1,4.325190093E-4
2.926637792E0,-7.321567088E-2,1.266055405E-1,-2.918050066E-2
2.936614792E0,-7.950508595E-2,1.195099130E-1,-5.359579623E-2
2.946590792E0,-8.938381076E-2,1.201144457E-1,-8.750236034E-2
2.956566792E0,-8.256984502E-2,1.379637420E-1,-1.085159332E-1
2.966542792E0,-7.725284994E-2,1.376106143E-1,-1.258030385E-1
2.976519792E0,-7.817491889E-2,1.264408678E-1,-1.536189914E-1
