,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,bar_pressure,labelcycling,labelmetro,labeltram,labelwalking,labelbus,person,session
2026-06-14 13:16:05.304542991,-0.7612332144734837,0.2987601761742539,0.05833169597361634,-0.0028051961089333934,0.03323542495348596,-0.0019307104350455625,1018.659172,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:05.554542991,-0.7282295156513383,0.3067428297133356,0.0605313896009299,-0.0009215352090019592,-0.0030621095891979417,-0.0005348555141358052,1018.6679839999999,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:05.804542991,-0.8130839077320205,0.33048004367159445,0.06109848934857659,-0.00506287032957049,0.017634372020279745,-0.010436491158950525,1018.676796,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:06.054542991,-0.9163741397645365,0.37000448872064173,0.05405347214326889,-0.0019023039577251797,0.01914336541668383,-0.012027217075550128,1018.685608,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:06.304542991,-0.7976537460231594,0.35805765525925803,0.048974224786778424,-0.0015733571734244535,0.008241845043939437,-0.008159288717496068,1018.6944199999999,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:06.554542991,-0.6949578677876285,0.33707164706844744,0.05527610051510996,-0.0026843727474934434,0.006520402001190098,-0.005561669640105318,1018.703232,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:06.804542991,-0.7052124315300834,0.34132318897158226,0.061740421095180215,-0.0013974308254953022,0.0037485429790066107,-0.006982948956430977,1018.7126162,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:07.054542991,-0.7088581373118752,0.3434244872247578,0.0633517838846586,-0.002018579297416452,0.00577080026245314,-0.0069865811291520965,1018.7220004,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:07.304542991,-0.7020854321373734,0.34262610093104806,0.05684299019170953,-0.0012148287966804062,0.004114100094720599,-0.00366700955188609,1018.7313846,0,1,0,0,0,giray,giray_metro_s1
2026-06-14 13:16:07.554542991,-0.6894393950864599,0.337593410019834,0.05111538417435657,-0.0011651400107670197,0.0004533655283431993,-0.003439768003648076,1018.7407688,0,1,0,0,0,giray,giray_metro_s1
